Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Замена жидкости в кондиционере; Услуги автосервиса\Кондиционер.jpg; 480; 3040; 25
Ремонт и замена коллектора; Услуги автосервиса\Выхлопная система.jpg; 150 ; 2770; 15
Замена актуатора сцепления; Услуги автосервиса\Сцепление.jpg; 330 ; 4100; 15
Замена жидкости ГУР; Услуги автосервиса\ГУР.png; 540; 2380; 20
Заправка кондиционеров; Услуги автосервиса\Кондиционер.jpg; 120; 4860; 5
Замена масла в вариаторе; Услуги автосервиса\Вариатор.jpg; 120; 4720; 5
Ремонт двигателя; Услуги автосервиса\Двигатель.png; 240; 2470; 25
З60мена заднего сальника АКПП; Услуги автосервиса\АКПП.jpg; 390 ; 1510; 25
Покраска; Услуги автосервиса\Дополнительные услуги.png; 120; 2370; 15
Мойка колес; Услуги автосервиса\Шиномонтаж.jpg; 570 ; 3490; 0
Замена прокладки впускного-выпуского коллектора; Услуги автосервиса\Выхлопная система.jpg; 180; 2980; 0
Диагностика работы двигателя; Услуги автосервиса\Двигатель.png; 150 ; 2760; 10
Установка сигнализации; Услуги автосервиса\Электрика.png; 240; 1760; 0
Замена компрессора кондиционера; Услуги автосервиса\Кондиционер.jpg; 270 ; 2720; 10
Замена ремня привода ГУР; Услуги автосервиса\ГУР.png; 600; 3350; 0
Замена тормозных колодок; Услуги автосервиса\Техническое обслуживание.png; 480; 4260; 5
Замена масла; Услуги автосервиса\Техническое обслуживание.png; 510 ; 1430; 25
Замена цепи ГРМ; Услуги автосервиса\Двигатель.png; 360; 4570; 20
Замена бензонасоса; Услуги автосервиса\Топливная система.png; 240; 1780; 10
Ремонт приводного вала; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 210 ; 4520; 5
Замена подшипника компрессора кондиционера; Услуги автосервиса\Кондиционер.jpg; 330 ; 1110; 20
Снятие и установка колес; Услуги автосервиса\Шиномонтаж.jpg; 390 ; 3130; 0
Замена лямбда зонда; Услуги автосервиса\Выхлопная система.jpg; 270 ; 770; 5
Замена привода в сборе; Услуги автосервиса\transmission.jpg; 480; 3890; 15
Замена трубки кондиционера; Услуги автосервиса\Кондиционер.jpg; 180; 2810; 15
Замена ремня кондиционера; Услуги автосервиса\Кондиционер.jpg; 480; 4650; 0
Замена охлаждающей жидкости; Услуги автосервиса\Техническое обслуживание.png; 210 ; 1590; 0
Замена троса сцепления; Услуги автосервиса\Сцепление.jpg; 480; 4460; 5
Замена масла в МКПП; Услуги автосервиса\КПП.png; 540; 4490; 20
Замена рулевой рейки; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 570 ; 4840; 25
Ремонт дисков; Услуги автосервиса\Шиномонтаж.jpg; 270 ; 3860; 10
Замена масла заднего редуктора (моста); Услуги автосервиса\transmission.jpg; 420; 840; 25
Замена подшипника задней ступицы; Услуги автосервиса\transmission.jpg; 270 ; 1860; 25
Восстановление рулевых реек; Услуги автосервиса\Подвеска.png; 120; 1020; 20
Замена рулевой тяги; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 180; 570; 0
Ремонт и замена гидроблока АКПП; Услуги автосервиса\АКПП.jpg; 270 ; 2040; 0
Замена масла раздаточной коробки; Услуги автосервиса\transmission.jpg; 510 ; 2070; 0
Диагностика кондиционера; Услуги автосервиса\Кондиционер.jpg; 600; 2590; 10
Ремонт и замена катализатора; Услуги автосервиса\Выхлопная система.jpg; 270 ; 500; 25
Замена гофры глушителя; Услуги автосервиса\Выхлопная система.jpg; 270 ; 760; 25
Замена ремня ГРМ; Услуги автосервиса\Двигатель.png; 150 ; 4630; 25
Ремонт редуктора; Услуги автосервиса\КПП.png; 480; 870; 15
Замена электромагнитного клапана без снятия ТНВД; Услуги автосервиса\diz.jpg; 450 ; 4610; 10
Вулканизация шин; Услуги автосервиса\Шиномонтаж.jpg; 330 ; 540; 20
Ремонт стартера; Услуги автосервиса\Электрика.png; 480; 2680; 0
Ремонт коробки передач; Услуги автосервиса\КПП.png; 450 ; 1850; 25
Жидкостная промывка топливной системы; Услуги автосервиса\Топливная система.png; 360; 3620; 15
Ремонт генератора; Услуги автосервиса\Электрика.png; 210 ; 1700; 20
Замена масла АКПП; Услуги автосервиса\АКПП.jpg; 450 ; 2430; 25
Диагностика трансмиссии; Услуги автосервиса\transmission.jpg; 120; 2790; 20
Монтаж и снятие шин с диска; Услуги автосервиса\Шиномонтаж.jpg; 600; 3990; 15
Замена подшипника передней ступицы; Услуги автосервиса\transmission.jpg; 330 ; 4020; 15
Замена главного цилиндра сцепления; Услуги автосервиса\Сцепление.jpg; 150 ; 4910; 5
Установка автомагнитолы; Услуги автосервиса\Электрика.png; 270 ; 3210; 0
Диагностика рулевых тяг; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 180; 1680; 5
Замена радиатора кондиционера; Услуги автосервиса\Кондиционер.jpg; 540; 1770; 0
Замена тормозной жидкости; Услуги автосервиса\Техническое обслуживание.png; 360; 2200; 10
Ремонт рулевого управления; Услуги автосервиса\Подвеска.png; 120; 3440; 20
Замена заднего редуктора; Услуги автосервиса\transmission.jpg; 330 ; 2240; 25
Дефектация CVT; Услуги автосервиса\Вариатор.jpg; 180; 1830; 5
Замена карданного вала; Услуги автосервиса\transmission.jpg; 120; 4450; 0
Замена сцепления; Услуги автосервиса\КПП.png; 330 ; 4320; 0
Установка системы автозапуска; Услуги автосервиса\Электрика.png; 540; 3620; 0
Замена опоры АКПП; Услуги автосервиса\АКПП.jpg; 300; 2540; 10
Ремонт бензонасоса; Услуги автосервиса\Топливная система.png; 210 ; 500; 15
Замена масла переднего редуктора (моста); Услуги автосервиса\transmission.jpg; 540; 3950; 5
Ремонт подвесного подшипника; Услуги автосервиса\transmission.jpg; 420; 4440; 25
Тестирование форсунок (стенд); Услуги автосервиса\Топливная система.png; 360; 1600; 0
Диагностика сцепления; Услуги автосервиса\Сцепление.jpg; 360; 4210; 20
Замена ступицы в сборе; Услуги автосервиса\transmission.jpg; 150 ; 4250; 20
Антибактериальная обработка кондиционера; Услуги автосервиса\Кондиционер.jpg; 450 ; 4580; 20
Ремонт глушителя; Услуги автосервиса\Выхлопная система.jpg; 150 ; 2100; 25
Диагностика рулевого редуктора; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 180; 2930; 10
Диагностика подвески; Услуги автосервиса\Подвеска.png; 330 ; 1460; 0
Замена свечей; Услуги автосервиса\Техническое обслуживание.png; 120; 2240; 10
Диагностика инжектора; Услуги автосервиса\Топливная система.png; 330 ; 3390; 5
Комплексная диагностика автомобиля; Услуги автосервиса\Техническое обслуживание.png; 600; 1120; 0
Ремонт раздаточной коробки; Услуги автосервиса\КПП.png; 600; 3610; 5
Удаление катализатора; Услуги автосервиса\Дополнительные услуги.png; 510 ; 1930; 10
Снятие/установка форсунок; Услуги автосервиса\diz.jpg; 300; 1470; 25
Развал-схождение; Услуги автосервиса\Подвеска.png; 180; 3890; 0
Замена выжимного подшипника; Услуги автосервиса\Сцепление.jpg; 600; 2250; 5
